sikayet,temiz_sikayet
"6 Haziran’dan beri Türk Telekom’a numara taşıma başvurusu yaptım fakat hattım hâlâ elime ulaşmadı. Dijital Kurye adlı firma ile çalışılması nedeniyle teslimat süreci tam anlamıyla bir fiyaskoya dönüştü. İki gündür sürekli teslimat tarihi değiştiriliyor, hiçbir şekilde bilgilendirme yapılmıyor ve hat...","6 haziran dan beri türk telekom a numara taşıma başvurusu yaptım fakat hattım h l elime ulaşmadı. dijital kurye adlı firma ile çalışılması nedeniyle teslimat süreci tam anlamıyla bir fiyaskoya dönüştü. i ki gündür sürekli teslimat tarihi değiştiriliyor, hiçbir şekilde bilgilendirme yapılmıyor ve hat..."
"Millenicom’dan Türk Telekom’a ev interneti geçiş işlemi için başvuru yaptım. Geçiş sürecinde bilgilerimi alan operatör, işlemi geçiş olarak değil yeni müşteri olarak başlatmış. Bu nedenle yaklaşık 3 aydır Millenicom’a fatura ödemeye devam ediyorum ve mağduriyet yaşıyorum. Ayrıca taahhüt cayma bedeli...","millenicom dan türk telekom a ev interneti geçiş işlemi için başvuru yaptım. geçiş sürecinde bilgilerimi alan operatör, işlemi geçiş olarak değil yeni müşteri olarak başlatmış. bu nedenle yaklaşık 3 aydır millenicom a fatura ödemeye devam ediyorum ve mağduriyet yaşıyorum. ayrıca taahhüt cayma bedeli..."
"Türk Telekom gibi köklü bir firmanın bu kadar sorumsuz, başına buyruk ve müşteri memnuniyetinden tamamen uzak hareket etmesi gerçekten inanılmaz. 100 Mbps hızında, 18 ay taahhütlü kampanyalı paket için İstanbul Kağıthane’de başvuru yaptım. 4, 5 ve 6 Ağustos tarihlerinde iki kez randevu verildi, “eki...","türk telekom gibi köklü bir firmanın bu kadar sorumsuz, başına buyruk ve müşteri memnuniyetinden tamamen uzak hareket etmesi gerçekten inanılmaz. 100 mbps hızında, 18 ay taahhütlü kampanyalı paket için i stanbul kağıthane de başvuru yaptım. 4, 5 ve 6 ağustos tarihlerinde iki kez randevu verildi, eki..."
"Türk Telekom ev interneti hizmeti kapsamında, İstanbul Silivri Selimpaşa Halaskargazi Caddesi no 152 daire 4 adresinde modem port açma işlemiyle ilgili sorun yaşamaktayım. Yaklaşık 4 haftadır port açma talebimiz alınmıyor. Türk Telekom müdürlüğüne gidip başvuruda bulundum ancak kendi internet alacağ...","türk telekom ev interneti hizmeti kapsamında, i stanbul silivri selimpaşa halaskargazi caddesi no 152 daire 4 adresinde modem port açma işlemiyle ilgili sorun yaşamaktayım. yaklaşık 4 haftadır port açma talebimiz alınmıyor. türk telekom müdürlüğüne gidip başvuruda bulundum ancak kendi internet alacağ..."
Türk Telekom Fiber internet hizmeti kullanıyorum. 11 Haziran 2024 tarihinde saat 15:30’dan itibaren internet bağlantım tamamen kesildi ve yaklaşık 48 saat süreceği bildirildi. Kurumsal bir firma olarak bu kesinti nedeniyle çok ciddi ekonomik kayıp yaşadım. Ayrıca bu tür kesintiler daha önce de sık s...,türk telekom fiber internet hizmeti kullanıyorum. 11 haziran 2024 tarihinde saat 15 30 dan itibaren internet bağlantım tamamen kesildi ve yaklaşık 48 saat süreceği bildirildi. kurumsal bir firma olarak bu kesinti nedeniyle çok ciddi ekonomik kayıp yaşadım. ayrıca bu tür kesintiler daha önce de sık s...
"TTNET internet aboneliğimin feshiyle ilgili ciddi bir sorun yaşamaktayım. 3 gün önce e-Devlet üzerinden fesih başvurusu yaptığımda, bilgim dışında oluşturulan bir nakil talebi nedeniyle başvurum reddediliyor. 5186****23 numaralı bu kaydın, TTNET’in “Tempo” olarak bildirdiği aracı firma tarafından aç...","ttnet internet aboneliğimin feshiyle ilgili ciddi bir sorun yaşamaktayım. 3 gün önce e devlet üzerinden fesih başvurusu yaptığımda, bilgim dışında oluşturulan bir nakil talebi nedeniyle başvurum reddediliyor. 5186 23 numaralı bu kaydın, ttnet in tempo olarak bildirdiği aracı firma tarafından aç..."
"6 gündür ""Altyapı çalışması"" yalanıyla internet yok. Faturayı 6 gün geciktirsen tepene çökerler öyle bir firma. Otomatik yanıt sistemiyle geçiştiriyorlar. Başka hiçbir şey yaptıkları yok. Böyle de rezil ve kalitesiz bir kurum. Yıl 2025 ama bunlara muhtacız işte.",6 gündür altyapı çalışması yalanıyla internet yok. faturayı 6 gün geciktirsen tepene çökerler öyle bir firma. otomatik yanıt sistemiyle geçiştiriyorlar. başka hiçbir şey yaptıkları yok. böyle de rezil ve kalitesiz bir kurum. yıl 2025 ama bunlara muhtacız işte.
22.07.2025 -24.07.2025 tarihleri arasında Türk Telekom firmasının ev interneti hizmeti kesildi. Modem DSL sorunu vs. Gözüküyordu. Aradığımda firmayı 30 dakika lik altyapı iyileştirmesi yapalım geçmezse tekrar arayın dendi. Sonrasında internet gelmedi ve ben mobil uygulamadan sorgulama yaptım arıza g...,22.07.2025 24.07.2025 tarihleri arasında türk telekom firmasının ev interneti hizmeti kesildi. modem dsl sorunu vs. gözüküyordu. aradığımda firmayı 30 dakika lik altyapı iyileştirmesi yapalım geçmezse tekrar arayın dendi. sonrasında internet gelmedi ve ben mobil uygulamadan sorgulama yaptım arıza g...
01.07.2025'de Türk Telekom'dan teknik servis talep ettim; ertesi gün (ismi doğru hatırlıyorsam) Türk Telekom teknik ekipten V***** Bey geldi ve modeme giren telefon hattı kablosunun datayı eksik getirdiğini tespit etti. Kablonun bina giriş noktasına gittik ve bina girişinin de sorunlu olduğunu tespi...,01.07.2025 de türk telekom dan teknik servis talep ettim ertesi gün ismi doğru hatırlıyorsam türk telekom teknik ekipten v bey geldi ve modeme giren telefon hattı kablosunun datayı eksik getirdiğini tespit etti. kablonun bina giriş noktasına gittik ve bina girişinin de sorunlu olduğunu tespi...
"Türk Telekom GSM hattımı, yaşadığım bölgede ciddi çekim problemleri olduğu ve hizmeti verimli kullanamadığım için iptal ettirmek istedim. 17.07.2025 tarihinde müşteri hizmetlerini arayıp cayma bedelini sordum. Tarafıma 22.07.2025 olan fatura kesim tarihinden önce operatör değişikliği yaparsam 195 TL...","türk telekom gsm hattımı, yaşadığım bölgede ciddi çekim problemleri olduğu ve hizmeti verimli kullanamadığım için iptal ettirmek istedim. 17.07.2025 tarihinde müşteri hizmetlerini arayıp cayma bedelini sordum. tarafıma 22.07.2025 olan fatura kesim tarihinden önce operatör değişikliği yaparsam 195 tl..."
"Yaklaşık 2 yıldır Türk Telekom Prime hat kullanıyorum. Son 2 haftadır İstanbul Bağcılar Demirkapı’daki adresimde ciddi iletişim sorunları yaşıyorum. İlk olarak aramalarda karşı tarafın sesini alamıyor ve konuşma gerçekleştiremiyordum, şimdi ise son 1 haftadır mobil internet de tamamen kullanılamaz h...","yaklaşık 2 yıldır türk telekom prime hat kullanıyorum. son 2 haftadır i stanbul bağcılar demirkapı daki adresimde ciddi iletişim sorunları yaşıyorum. i lk olarak aramalarda karşı tarafın sesini alamıyor ve konuşma gerçekleştiremiyordum, şimdi ise son 1 haftadır mobil internet de tamamen kullanılamaz h..."
"3 Temmuz'da Türk Telekom'a geçtim. Geçişte ne internet kablosu değiştirildi ne yeni modem aldım ne de modem kurulumu yapıldı. Fakat benden 18 ay boyunca, aylık KDV hariç 60 lira olacak şekilde aktivasyon ücreti kesilmiş. Müşteri hizmetlerini aradığımda port ücreti olduğunu, diğer firmaların da bu üc...","3 temmuz da türk telekom a geçtim. geçişte ne internet kablosu değiştirildi ne yeni modem aldım ne de modem kurulumu yapıldı. fakat benden 18 ay boyunca, aylık kdv hariç 60 lira olacak şekilde aktivasyon ücreti kesilmiş. müşteri hizmetlerini aradığımda port ücreti olduğunu, diğer firmaların da bu üc..."
"Türk Telekom ev internetimiz kesildi. 10 gündür modem bağlantıları zor yapıldı, 1 saat internet geldi, yine gitti. Defalarca arıyoruz; bugün geleceğiz, yarın geleceğiz, şu saatte geleceğiz diyorlar ama hiçbirinde gelmiyorlar. Ben bu kadar insanı geçiştiren bir firma görmedim. Ödemeyi tam alıyorsunuz...","türk telekom ev internetimiz kesildi. 10 gündür modem bağlantıları zor yapıldı, 1 saat internet geldi, yine gitti. defalarca arıyoruz bugün geleceğiz, yarın geleceğiz, şu saatte geleceğiz diyorlar ama hiçbirinde gelmiyorlar. ben bu kadar insanı geçiştiren bir firma görmedim. ödemeyi tam alıyorsunuz..."
1899885419 hizmet numaralı Türk Telekom internetimiz geçen haftadan bu yana arızalıdır. Geçen hafta bölgemizde elektrik ve internet kesintisi yapılmıştı. Sonrasında internetimiz inanılmaz derecede yavaşladı ve kullanılamaz hale geldi. Kurumsal bir firma olmamız nedeniyle tüm işlerimiz aksamakta ve g...,1899885419 hizmet numaralı türk telekom internetimiz geçen haftadan bu yana arızalıdır. geçen hafta bölgemizde elektrik ve internet kesintisi yapılmıştı. sonrasında internetimiz inanılmaz derecede yavaşladı ve kullanılamaz hale geldi. kurumsal bir firma olmamız nedeniyle tüm işlerimiz aksamakta ve g...
Türk Telekom internet satış yaptığı ürünü 8 gündür başvuru sürecinde bekletip müşteri hizmetinde randevu güncellemesi yapmadınız diye müşteriyi suçluyor ve üstüne bir 8 gün daha bekleteceğini çünkü daha erken bir tarih olmadığını söylüyor. Ama satış yapılırken asla 16 günde satın aldığımız hizmeti v...,türk telekom internet satış yaptığı ürünü 8 gündür başvuru sürecinde bekletip müşteri hizmetinde randevu güncellemesi yapmadınız diye müşteriyi suçluyor ve üstüne bir 8 gün daha bekleteceğini çünkü daha erken bir tarih olmadığını söylüyor. ama satış yapılırken asla 16 günde satın aldığımız hizmeti v...
"Bartın/Merkez’de ikamet ettiğim binada fiber altyapı dönüşümü olacağı belirtildi. Bu nedenle iki kez randevu oluşturuldu; ancak her iki seferde de belirtilen tarihlerde ekipler gelmedi. 2 Ağustos 2025 öğleden itibaren internet erişimim tamamen kesildi. Müşteri hizmetlerini aradığımda, fiber dönüşüm ...","bartın merkez de ikamet ettiğim binada fiber altyapı dönüşümü olacağı belirtildi. bu nedenle iki kez randevu oluşturuldu ancak her iki seferde de belirtilen tarihlerde ekipler gelmedi. 2 ağustos 2025 öğleden itibaren internet erişimim tamamen kesildi. müşteri hizmetlerini aradığımda, fiber dönüşüm ..."
"Türk Telekom, internet adres değişikliğinde hem bir hafta sonraya randevu veriyor. Üstelik, o tarihte de gelmiyorlar ve 'geldik, adreste yoktular' diye not düşüyorlar. Fatura zamanı gelince ödemeyi hemen alıyorlar. Ödenmeyince kesmesini de biliyorlar ama iş hizmete gelince ortada yoklar. Taahhüt bit...","türk telekom, internet adres değişikliğinde hem bir hafta sonraya randevu veriyor. üstelik, o tarihte de gelmiyorlar ve geldik, adreste yoktular diye not düşüyorlar. fatura zamanı gelince ödemeyi hemen alıyorlar. ödenmeyince kesmesini de biliyorlar ama iş hizmete gelince ortada yoklar. taahhüt bit..."
"13 Mayıs 2015 tarihinde Türk Telekom faturalı hattımda tarife değişikliği yaptım. Daha önce benzer taleplerimde (22 Mart ve 12 Nisan) cayma bedeliyle ilgili bana kısa mesaj gönderilmiş ve ne kadar ücret yansıyacağı bildirilmişti. Ancak son geçiş işlemimde herhangi bir bilgilendirme yapılmadı, buna r...","13 mayıs 2015 tarihinde türk telekom faturalı hattımda tarife değişikliği yaptım. daha önce benzer taleplerimde 22 mart ve 12 nisan cayma bedeliyle ilgili bana kısa mesaj gönderilmiş ve ne kadar ücret yansıyacağı bildirilmişti. ancak son geçiş işlemimde herhangi bir bilgilendirme yapılmadı, buna r..."
Türk Telekom mobil hattımın taahhüdünün bitmesin 60 gün varken hattımı değiştirdim. Cayma bedeli olarak 3.332 TL talep ettiler. İtiraz ettim işe yaramadı. 10 ay boyunca ödediğim tutar kadar 60 gün için para aldılar. Bir daha Türk Telekom ile çalışmayacağım. Gibi tüm tanıdık tanımadık herkese anlatac...,türk telekom mobil hattımın taahhüdünün bitmesin 60 gün varken hattımı değiştirdim. cayma bedeli olarak 3.332 tl talep ettiler. i tiraz ettim işe yaramadı. 10 ay boyunca ödediğim tutar kadar 60 gün için para aldılar. bir daha türk telekom ile çalışmayacağım. gibi tüm tanıdık tanımadık herkese anlatac...
"Türk Telekom firmasının ne yazık ki ev interneti müşterisiyim. Taahhüt sürem dolmak üzere ve geçiş yapacağım düzgün bir firma olmadığı, ayrıca uğraşmak istemediğim için tekrar taahhüt yenilemek istedim. İnternet sitesinden mevcut müşteri kampanyalarına baktığımda, 18 ay taahhütlü 100 Mbps 640 TL ola...","türk telekom firmasının ne yazık ki ev interneti müşterisiyim. taahhüt sürem dolmak üzere ve geçiş yapacağım düzgün bir firma olmadığı, ayrıca uğraşmak istemediğim için tekrar taahhüt yenilemek istedim. i nternet sitesinden mevcut müşteri kampanyalarına baktığımda, 18 ay taahhütlü 100 mbps 640 tl ola..."
"Türk Telekom arıza kaydı için geleceklerini söylediler... 5180****13 numaralı internet arızanız çözümlenmiştir diye mesaj geldi... Telepati ile mi çözümlediniz naptınız? Kimse gelmedi, sebebi ne acaba? Sıcaksa bize de sıcak, yoğunsanız bizde yoğunuz... Dönüş yapılmazsa aboneliğimi sonlandıracağım. B...","türk telekom arıza kaydı için geleceklerini söylediler... 5180 13 numaralı internet arızanız çözümlenmiştir diye mesaj geldi... telepati ile mi çözümlediniz naptınız? kimse gelmedi, sebebi ne acaba? sıcaksa bize de sıcak, yoğunsanız bizde yoğunuz... dönüş yapılmazsa aboneliğimi sonlandıracağım. b..."
Şikayet Eden: R* F**** A**** Şikayet Edilen Firma: Türk Telekom (TTNET) Konu: Taahhüt Süresinin Bilgim Dışında Uzatılması Açıklama: Tarafıma Türk Tel...,şikayet eden r f a şikayet edilen firma türk telekom ttnet konu taahhüt süresinin bilgim dışında uzatılması açıklama tarafıma türk tel...
Yaklaşık 3 hafta önce internet başvurusu yaptım. Başvuru yaptığım firma Türk Telekom'un gelip kontrol edeceğini ve onlar uygunluk verdikten sonra internetimi bağlayacaklarını söylediler. 3 haftadır Türk Telekom nasıl yoğunsa gelip bakma fırsatları hiç olmadı. Sizden almadığım için mi işinizi bu kada...,yaklaşık 3 hafta önce internet başvurusu yaptım. başvuru yaptığım firma türk telekom un gelip kontrol edeceğini ve onlar uygunluk verdikten sonra internetimi bağlayacaklarını söylediler. 3 haftadır türk telekom nasıl yoğunsa gelip bakma fırsatları hiç olmadı. sizden almadığım için mi işinizi bu kada...
TÜRKSAT Kablo Net üzerinden internet aboneliği ne başvurdum 21.07.2025 tarihinde o günden bu bu yana gelip internet bağlantısının yapılmasını bekliyorum. Her gün arıyorum altyapının Türk Telekom isimli firmaya ait olduğu ve bağlantının ilgili firma tarafından yapılacağı tarafıma iletiliyor. Aynı bin...,türksat kablo net üzerinden internet aboneliği ne başvurdum 21.07.2025 tarihinde o günden bu bu yana gelip internet bağlantısının yapılmasını bekliyorum. her gün arıyorum altyapının türk telekom isimli firmaya ait olduğu ve bağlantının ilgili firma tarafından yapılacağı tarafıma iletiliyor. aynı bin...
Türk Telekom yıllardır evde internet abonesiyim. Ancak yenileme zamanı geldiğinde 385 olan faturam 1000 TL den bana abonelik sunuluyor. Mobilden yenileme teklifleri çok cazip çıkmıyor ve seçenek sunulmuyor. Mevcut müşteriye dayatılan zorlama paketler ile abonelik yaptırma durumu çok kurumsallıktan u...,türk telekom yıllardır evde internet abonesiyim. ancak yenileme zamanı geldiğinde 385 olan faturam 1000 tl den bana abonelik sunuluyor. mobilden yenileme teklifleri çok cazip çıkmıyor ve seçenek sunulmuyor. mevcut müşteriye dayatılan zorlama paketler ile abonelik yaptırma durumu çok kurumsallıktan u...
"Trabzon/Akçaabat Kavaklı 10702 No'lu Sokak F/A Blok yöneticisi olarak, binamızın girişine bina yönetiminden izinsiz olarak Türk Telekom altyapı çalışması, taşeron firma tarafından yapılmış; bina çevresinde tahribata neden olunmuş ve binanın kullanımına uygun olmayan bir alana kablo taşıması yapılmış...","trabzon akçaabat kavaklı 10702 no lu sokak f a blok yöneticisi olarak, binamızın girişine bina yönetiminden izinsiz olarak türk telekom altyapı çalışması, taşeron firma tarafından yapılmış bina çevresinde tahribata neden olunmuş ve binanın kullanımına uygun olmayan bir alana kablo taşıması yapılmış..."
"TT Mobil Enflasyon adı altında 20 GB internet, 1000 dakika ve 250 SMS'i düzgün çekmeyen hattın faturasını kampanyalı fiyata 600 TL'ye sabitlediler. Daha uygun bir tarife bulunca operatör değiştirmek istedim. 73 günlük taahhüdün cayma bedelini öğrenmek için aradığımda 3374 TL gibi bir tutar çıkarıldı...","tt mobil enflasyon adı altında 20 gb internet, 1000 dakika ve 250 sms i düzgün çekmeyen hattın faturasını kampanyalı fiyata 600 tl ye sabitlediler. daha uygun bir tarife bulunca operatör değiştirmek istedim. 73 günlük taahhüdün cayma bedelini öğrenmek için aradığımda 3374 tl gibi bir tutar çıkarıldı..."
0 (850) 678 01 48 bu numaradan kendilerini Türk Telekom'dan aradıklarını söyleyerek mevcut operatör hakkında saçma sapan bilgiler verip beni Türk Telekom'a geçirmeye çalışıyorlar. Şimdi Türk Telekom bizimle alakası yok diyecek ama kimse hayrına Türk Telekom adına insanları arayıp kişisel bilgilerine...,0 850 678 01 48 bu numaradan kendilerini türk telekom dan aradıklarını söyleyerek mevcut operatör hakkında saçma sapan bilgiler verip beni türk telekom a geçirmeye çalışıyorlar. şimdi türk telekom bizimle alakası yok diyecek ama kimse hayrına türk telekom adına insanları arayıp kişisel bilgilerine...
Yaklaşık 1 yıldır bulunduğum evde Türk Telekom hattım çekmiyor. Son 3 aydır neredeyse tüm zamanım evde geçiyor. Sabit internetim varken pek gözüme çarpmıyordu fakat önceki şikayetlerimden anlayacağınız üzere 15 günlük bir sabit internet kesintisi yaşadım. Bu kesinti sırasında doğal olarak mobil veri...,yaklaşık 1 yıldır bulunduğum evde türk telekom hattım çekmiyor. son 3 aydır neredeyse tüm zamanım evde geçiyor. sabit internetim varken pek gözüme çarpmıyordu fakat önceki şikayetlerimden anlayacağınız üzere 15 günlük bir sabit internet kesintisi yaşadım. bu kesinti sırasında doğal olarak mobil veri...
Türk Telekom zaten bir an önce taahhüt bozmak istediğim zamanında geçtiğim için beni pişman eden bir firma. Asla müşteriye kıymet vermiyorlar. Şimdi de Sil Süpür butonunu kaldırmışlar çıkmıyor ve kullanamıyorum. Taahhüdüm bitince sizden kurtulacağım için çok mutluyum.,türk telekom zaten bir an önce taahhüt bozmak istediğim zamanında geçtiğim için beni pişman eden bir firma. asla müşteriye kıymet vermiyorlar. şimdi de sil süpür butonunu kaldırmışlar çıkmıyor ve kullanamıyorum. taahhüdüm bitince sizden kurtulacağım için çok mutluyum.
"İnternetim saatlerdir yavaş, donuk ve çok kötü. Müşteri hizmetlerini defalarca aradığım halde, 'Sistemde arıza veya kopma göremiyoruz, bağlantınızda sorun yok' diyerek asla yardımcı olmadılar. O kadar para alıp, firma hatasının arkasında bile duramıyorlar, yardımcı olamıyorlar. 'Bir ekip gönderelim,...","i nternetim saatlerdir yavaş, donuk ve çok kötü. müşteri hizmetlerini defalarca aradığım halde, sistemde arıza veya kopma göremiyoruz, bağlantınızda sorun yok diyerek asla yardımcı olmadılar. o kadar para alıp, firma hatasının arkasında bile duramıyorlar, yardımcı olamıyorlar. bir ekip gönderelim,..."
Türk Telekom hattı aldığım günden bu yana hattım şebeke ve internet bağlantısı sorunu yaşıyorum. İyileştirme yapılıyor deniyor ama nedense halen iyileştirme alanında bir adım yol alınmadı. Son kez firma yetkilerine buradan ulaşarak mağduriyetin giderilmesi umudumla yazıyorum. Bu gidişte Tüketici Mah...,türk telekom hattı aldığım günden bu yana hattım şebeke ve internet bağlantısı sorunu yaşıyorum. i yileştirme yapılıyor deniyor ama nedense halen iyileştirme alanında bir adım yol alınmadı. son kez firma yetkilerine buradan ulaşarak mağduriyetin giderilmesi umudumla yazıyorum. bu gidişte tüketici mah...
"30.07. 2025 tarihinde tarafıma Türk Telekom müşteri hizmetleri ® olduğunu söyleyen 08509010979 numarası beni arayarak çok cazip bir teklif yaparak beni Türk Telekom abonesi olmam için ikna etti. Vodafone da faturamın bitmesine bir ay kaldığı için kabul ettim, fakat benden adres bilgilerimi kimliğimi...","30.07. 2025 tarihinde tarafıma türk telekom müşteri hizmetleri olduğunu söyleyen 08509010979 numarası beni arayarak çok cazip bir teklif yaparak beni türk telekom abonesi olmam için ikna etti. vodafone da faturamın bitmesine bir ay kaldığı için kabul ettim, fakat benden adres bilgilerimi kimliğimi..."
"Merhabalar, 2019 ve 2024 yıllarında boş port olmadığı gerekçesiyle yıllardır bekliyorum. Sürekli mesaj atıyor, müşteri hizmetlerini arıyor ve genel müdürlüğe giderek dilekçe veriyorum; ancak hâlâ bir sonuç alamadım. 2025 yılında yaşıyoruz, milattan önce değiliz. Bu kadar vurdumduymaz bir firma olama...","merhabalar, 2019 ve 2024 yıllarında boş port olmadığı gerekçesiyle yıllardır bekliyorum. sürekli mesaj atıyor, müşteri hizmetlerini arıyor ve genel müdürlüğe giderek dilekçe veriyorum ancak h l bir sonuç alamadım. 2025 yılında yaşıyoruz, milattan önce değiliz. bu kadar vurdumduymaz bir firma olama..."
